data/customer_id,data/helpful_votes,data/marketplace,data/product_category,data/product_id,data/product_parent,data/product_title,data/review_body,data/review_date,data/review_headline,data/review_id,data/star_rating,data/total_votes,data/verified_purchase,data/vine
b'26846268',0,b'US',b'Shoes',b'B002EL3KWS',b'169172080',b'PUMA Speeder Illuminescent V Light Up Sneaker (Toddler/Little Kid/Big Kid)',b'These shoes are so adoreable. They are of good quality and can be cleaned off with a wet cloth. To my surprise they even light up. I had no idea but it was a great addition to a great shoe. My daughter loves them and didnt want to take them off.',b'2012-12-28',"b'Great Price, Love these!'",b'R2QQTV19XDB6IC',5,0,0,1
b'25960125',1,b'US',b'Shoes',b'B0054DO16W',b'543323240',b'Nike Air Max 95 (GS) Big Kids Running Shoes [307565-140] White/Blue Spark-Grey Boys Shoes 307565-140',"b""I loved the sneakers but I had to send them back they seemed tight even though I ordered my size and they didn't have a half size bigger :(""",b'2011-09-12',b'Not too happy..',b'R1HDXT15X6II4C',3,1,0,1
b'11086779',0,b'US',b'Shoes',b'B005HER2CI',b'56595624',"b""Harley-Davidson Men's Paladin Boot""",b'need i say more as harley makes an excellent boot and they fit true to size and are very comfortable.',b'2013-08-28',b'harley boots',b'RYSGRKSV8M187',5,0,0,1
b'8900713',0,b'US',b'Shoes',b'B010UQ1VCY',b'979185488',"b""Latasa Women's Fashion Chunky Mid-heel Slip-on Loafers Shoes, Comfort Shoes""",b'Love it',b'2015-08-17',b'comfortable shoes',b'R17S5LGCYBJ700',5,1,0,1
b'41547974',0,b'US',b'Shoes',b'B009CF2H8W',b'892647298',b'Ray-Ban 0RB4187 Square Sunglasses',b'Really nice ones.',b'2015-04-13',b'Five Stars',b'R242WB1KEDWYZY',5,0,0,1
b'27196967',0,b'US',b'Shoes',b'B001914BDQ',b'205250364',"b""Minnetonka Women's Suede Ankle Boot""","b'These shoes are absolutely adorable, but they fit an entire size too large. I normally wear an 8 or 8 1/2 but I had to return for a size 7, which fits perfect.'",b'2014-06-20',"b'Really cute, just waaaaay too big.'",b'R1H9O8Q1KHX62I',4,0,0,1
b'242760',0,b'US',b'Shoes',b'B00D8E6XOM',b'825867191',"b""ASICS Men's GEL-180 TR Cross-Training Shoe""","b'LOVE THESE SNEAKERS , LIKE WALKING ON AIR!!'",b'2015-06-22',b'Five Stars',b'R1U3NMO1ROSINJ',5,0,0,1
b'12069751',1,b'US',b'Shoes',b'B00M0ZOOPA',b'227604381',"b""Michael Antonio Women's Kaimi Wedge Sandal""",b'Great comfort and quality. Highly reccomend',b'2015-04-29',b'Five Stars',b'R2UGD1CGAYUFNX',5,1,0,1
b'15755305',0,b'US',b'Shoes',b'B0058ZBBUU',b'918628308',"b""Dirty Laundry by Chinese Laundry Women's Paz Boot""","b""I do find my feet get wet--'and while tight when I got them, they are lose now and can't walk long in them without pain. It seems the base hits my Achilles and it causes spain.""",b'2015-02-16',"b""I do find my feet get wet--'and while tight when ...""",b'RNQ5D42OSVWJ5',3,0,0,1
b'15199787',0,b'US',b'Shoes',b'B00PBU3ESO',b'539239877',"b""Spring Step Women's Livingstone Sandals""",b'These are darling shoes! They were comfortable right out of the box. Just love them.',b'2015-07-08',b'Pretty and comfortable',b'R1KZBU14M52N8W',5,0,0,1
